"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JSON", "JavaScript", "YAML", "comment", "blank", "total"
"d:\Projects\truth-mesh\packages\core\examples\custom-config.ts", "TypeScript", 143, 0, 0, 0, 0, 0, 47, 51, 241
"d:\Projects\truth-mesh\packages\core\mnt\user-data\outputs\src\types\index.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 12, 4, 37
"d:\Projects\truth-mesh\packages\core\package-lock.json", "JSON", 0, 0, 0, 10103, 0, 0, 0, 1, 10104
"d:\Projects\truth-mesh\packages\core\package.json", "JSON", 0, 0, 0, 64, 0, 0, 0, 1, 65
"d:\Projects\truth-mesh\packages\core\src\config.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 43, 11, 95
"d:\Projects\truth-mesh\packages\core\src\crypto\signatures.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 52, 14, 125
"d:\Projects\truth-mesh\packages\core\src\index.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 18, 9, 66
"d:\Projects\truth-mesh\packages\core\src\interfaces\crypto.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 54, 9, 76
"d:\Projects\truth-mesh\packages\core\src\interfaces\index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 9, 2, 14
"d:\Projects\truth-mesh\packages\core\src\interfaces\merkle.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 65, 10, 92
"d:\Projects\truth-mesh\packages\core\src\interfaces\storage.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 48, 9, 67
"d:\Projects\truth-mesh\packages\core\src\ipfs\helia-storage.ts", "TypeScript", 110, 0, 0, 0, 0, 0, 62, 28, 200
"d:\Projects\truth-mesh\packages\core\src\ipfs\mock-storage.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 86, 27, 204
"d:\Projects\truth-mesh\packages\core\src\merkle\tree.ts", "TypeScript", 130, 0, 0, 0, 0, 0, 70, 36, 236
"d:\Projects\truth-mesh\packages\core\src\truth-mesh.ts", "TypeScript", 222, 0, 0, 0, 0, 0, 123, 54, 399
"d:\Projects\truth-mesh\packages\core\src\types\fact.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 45, 6, 77
"d:\Projects\truth-mesh\packages\core\src\types\index.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 12, 4, 37
"d:\Projects\truth-mesh\packages\core\src\types\proof.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 55, 7, 95
"d:\Projects\truth-mesh\packages\core\src\types\result.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 70, 13, 139
"d:\Projects\truth-mesh\packages\core\src\utils\errors.ts", "TypeScript", 115, 0, 0, 0, 0, 0, 43, 39, 197
"d:\Projects\truth-mesh\packages\core\src\verification\verify.ts", "TypeScript", 200, 0, 0, 0, 0, 0, 56, 29, 285
"d:\Projects\truth-mesh\packages\core\tests\crypto.test.ts", "TypeScript", 152, 0, 0, 0, 0, 0, 9, 55, 216
"d:\Projects\truth-mesh\packages\core\tests\integration.test.ts", "TypeScript", 269, 0, 0, 0, 0, 0, 22, 75, 366
"d:\Projects\truth-mesh\packages\core\tests\merkle.test.ts", "TypeScript", 207, 0, 0, 0, 0, 0, 12, 60, 279
"d:\Projects\truth-mesh\packages\core\tests\storage.test.ts", "TypeScript", 158, 0, 0, 0, 0, 0, 9, 59, 226
"d:\Projects\truth-mesh\packages\core\tsconfig.json", "JSON with Comments", 0, 38, 0, 0, 0, 0, 6, 6, 50
"d:\Projects\truth-mesh\packages\core\vitest.config.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 6, 7, 43
"d:\Projects\truth-mesh\prototypes\README.md", "Markdown", 0, 0, 22, 0, 0, 0, 0, 12, 34
"d:\Projects\truth-mesh\prototypes\ipfs-integration\PLAN.md", "Markdown", 0, 0, 342, 0, 0, 0, 0, 104, 446
"d:\Projects\truth-mesh\prototypes\ipfs-integration\RESEARCH.md", "Markdown", 0, 0, 341, 0, 0, 0, 0, 90, 431
"d:\Projects\truth-mesh\tsconfig.json", "JSON with Comments", 0, 38, 0, 0, 0, 0, 6, 6, 50
"d:\Projects\truth-mesh\vitest.config.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 6, 7, 43
"Total", "-", 3695, 93, 3074, 22678, 2, 0, 1416, 2047, 33005
